,Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,# Pl Against,90s Against,Gls Against,Sh Against,SoT Against,SoT% Against,Sh/90 Against,SoT/90 Against,G/Sh Against,G/SoT Against,Dist Against,FK Against,PK Against,PKatt Against,xG Against,npxG Against,npxG/Sh Against,G-xG Against,np:G-xG Against,Squad-Season,xG per 90,xG Against per 90,G per 90,G Against per 90,G - xG per 90,Gc - xGc per 90
53,2019,Norwich City,30,38,25,409,124,30.3,10.76,3.26,0.06,0.19,17.4,16,2,2,38,36.6,0.09,-13,-13.6,30,38,72,600,201,33.5,15.79,5.29,0.11,0.34,16,18,4,7,61.9,56.7,0.1,10.1,11.3,Norwich City-2019,1,1.628947368,0.657894737,1.894736842,-0.342105263,-0.265789474
54,2019,Sheffield Utd,26,38,36,353,109,30.9,9.29,2.87,0.1,0.32,14.7,4,1,1,41.5,40.8,0.12,-5.5,-5.8,26,38,39,430,141,32.8,11.32,3.71,0.09,0.27,17,23,1,3,47.9,45.6,0.11,-8.9,-7.6,Sheffield Utd-2019,1.092105263,1.260526316,0.947368421,1.026315789,-0.144736842,0.234210526
55,2019,Southampton,25,38,51,497,169,34,13.08,4.45,0.1,0.29,17.4,27,2,5,54,50,0.1,-3,-1,25,38,59,445,163,36.6,11.71,4.29,0.13,0.34,16,12,3,4,53.1,50,0.12,5.9,6,Southampton-2019,1.421052632,1.397368421,1.342105263,1.552631579,-0.078947368,-0.155263158
56,2019,Tottenham,29,38,56,439,155,35.3,11.55,4.08,0.12,0.34,17.8,21,3,4,46.1,43,0.1,9.9,10,29,38,45,531,172,32.4,13.97,4.53,0.08,0.23,16.8,23,5,7,52,46.9,0.09,-7,-6.9,Tottenham-2019,1.213157895,1.368421053,1.473684211,1.184210526,0.260526316,0.184210526
57,2019,Watford,26,38,35,410,114,27.8,10.79,3,0.07,0.25,16.5,18,7,8,45.1,39.1,0.1,-10.1,-11.1,26,38,61,488,166,34,12.84,4.37,0.11,0.32,17.4,28,8,9,57.3,50.3,0.11,3.7,2.7,Watford-2019,1.186842105,1.507894737,0.921052632,1.605263158,-0.265789474,-0.097368421
58,2019,West Ham,29,38,49,414,157,37.9,10.89,4.13,0.11,0.29,15.6,13,4,4,46.2,43.2,0.11,2.8,1.8,29,38,59,493,178,36.1,12.97,4.68,0.11,0.3,15.7,13,5,6,61.1,56.5,0.12,-2.1,-2.5,West Ham-2019,1.215789474,1.607894737,1.289473684,1.552631579,0.073684211,0.055263158
59,2019,Wolves,21,38,49,453,142,31.3,11.92,3.74,0.1,0.32,16.9,12,4,4,47.1,44.1,0.1,1.9,0.9,21,38,39,393,120,30.5,10.34,3.16,0.1,0.32,16.8,12,1,3,34.8,32.4,0.08,4.2,5.6,Wolves-2019,1.239473684,0.915789474,1.289473684,1.026315789,0.05,-0.110526316
60,2020,Arsenal,29,38,53,455,141,31,11.97,3.71,0.1,0.33,16.9,23,6,6,53.5,49,0.11,-0.5,-2,29,38,35,419,128,30.5,11.03,3.37,0.08,0.26,16.9,11,2,3,44.3,42.1,0.1,-9.3,-9.1,Arsenal-2020,1.407894737,1.165789474,1.394736842,0.921052632,-0.013157895,0.244736842
61,2020,Aston Villa,24,38,52,518,179,34.6,13.63,4.71,0.09,0.26,16.5,15,5,6,52.9,48.5,0.1,-0.9,-1.5,24,38,45,536,177,33,14.11,4.66,0.07,0.23,17.3,25,5,6,52.9,48.4,0.09,-7.9,-8.4,Aston Villa-2020,1.392105263,1.392105263,1.368421053,1.184210526,-0.023684211,0.207894737
62,2020,Brighton,27,38,39,476,129,27.1,12.53,3.39,0.07,0.26,16.6,14,6,9,51.6,44.8,0.1,-12.6,-11.8,27,38,44,352,117,33.2,9.26,3.08,0.11,0.32,17.7,10,6,7,37.7,32.4,0.09,6.3,5.6,Brighton-2020,1.357894737,0.992105263,1.026315789,1.157894737,-0.331578947,-0.165789474
63,2020,Burnley,25,38,32,383,125,32.6,10.08,3.29,0.08,0.23,16.6,15,3,3,39.9,37.6,0.1,-7.9,-8.6,25,38,54,562,179,31.9,14.79,4.71,0.09,0.28,16.7,12,3,3,57.6,55.4,0.1,-3.6,-4.4,Burnley-2020,1.05,1.515789474,0.842105263,1.421052632,-0.207894737,0.094736842
64,2020,Chelsea,27,38,56,553,194,35.1,14.55,5.11,0.09,0.25,16.3,16,8,10,64,56.4,0.1,-8,-8.4,27,38,35,332,103,31,8.74,2.71,0.1,0.31,18.8,15,3,4,32.8,29.8,0.09,2.2,2.2,Chelsea-2020,1.684210526,0.863157895,1.473684211,0.921052632,-0.210526316,-0.057894737
